Durchmesser [m]
         	Rohr 1    	Rohr 2    	Rohr 3    	Rohr 4    	Rohr 5    	Rohr 6    	
Pumpe 2   	0.3004    	0.2018    	0.1478    	0.2018    	0.2018    	0.2494    	
Pumpe 3   	0.2494    	0.2018    	0.123     	0.2018    	0.2018    	0.2018    	
Pumpe 4   	0.2494    	0.1478    	0.123     	0.2018    	0.1478    	0.2018    	
Pumpe 5   	0.2018    	0.1478    	0.123     	0.1478    	0.1478    	0.2018    	
Pumpe 6   	0.2018    	0.1478    	0.123     	0.1478    	0.1478    	0.2018    	
Pumpe 7   	0.2018    	0.123     	0.123     	0.1478    	0.1478    	0.2018    	
Pumpe 8   	0.2018    	0.123     	0.099     	0.1478    	0.1478    	0.1478    	
Pumpe 9   	0.2018    	0.123     	0.099     	0.1478    	0.123     	0.1478    	

Ventilstellung [Pa]
         	Rohr 1    	Rohr 2    	Rohr 3    	Rohr 4    	Rohr 5    	Rohr 6    	
Pumpe 2   	4607.16   	9605.47   	14053.4   	10478.7   	7332.07   	397.111   	
Pumpe 3   	7692.92   	21206.4   	8236.87   	22079.7   	18933     	3073.23   	
Pumpe 4   	19293.8   	11421.1   	19837.8   	33680.6   	3849.12   	14674.2   	
Pumpe 5   	3064.05   	23022     	31438.7   	6864.89   	15450     	26275.1   	
Pumpe 6   	14665     	34622.9   	43039.7   	18465.8   	27051     	37876     	
Pumpe 7   	26265.9   	2928.51   	54640.6   	30066.7   	38651.9   	49476.9   	
Pumpe 8   	37866.8   	14529.4   	6108.03   	41667.7   	50252.8   	6030.68   	
Pumpe 9   	49467.8   	26130.4   	17709     	53268.6   	7797.05   	17631.6   	
